NAME,Symbol,Market Value
NEWJERSEY RESOURCES CORPORATION,NJR,"$1,252.10"
BIOMED REALTY TRUST,BMR,"$1,251.20"
PERDIGAO S.A.,PDA,"$1,251.10"
"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",AIT,"$1,251.00"
"OWENS & MINOR, INC.",OMI,"$1,249.00"
PLEXUS CORP.,PLXS,"$1,246.40"
LASALLE HOTEL PROPERTIES,LHO,"$1,246.10"
"COMMERCIAL NET LEASE REALTY, INC.",NNN,"$1,243.00"
RYDEX ETF TRUST,RSP,"$1,240.60"
SPANSION INC.,SPSN,"$1,240.50"
TELE CENTRO OEST CELULAR PARTICIPACOES S.A.,TRO,"$1,239.70"
MERRILL LYNCH SEMICONDUCTOR HOLDRS,SMH,"$1,237.40"
"NUVEEN INSURED MUNICIPAL OPPORTUNITY FUND, INC.",NIO,"$1,236.50"
DIGITAL INSIGHT CORPORATION,DGIN,"$1,235.60"
"HEARST-ARGYLE TELEVISION, INC.",HTV,"$1,232.70"
"ARVINMERITOR, INC.",ARM,"$1,229.70"
"CEC ENTERTAINMENT, INC.",CEC,"$1,229.00"
BANTA CORPORATION,BN,"$1,225.80"
MASISA SA ADS,MYS,"$1,225.60"
ARBITRON INC.,ARB,"$1,225.40"
ISHARES DOW JONES U.S. HEALTH CARE INDEX FUND,IYH,"$1,224.60"
WCI COMMUNITIES INC,WCI,"$1,221.70"
RANDGOLD RESOURCES LIMITED,GOLD,"$1,221.20"
DOMTAR INCORPORATED,DTC,"$1,219.50"
FORWARD AIR CORPORATION,FWRD,"$1,219.10"
"CHILDREN'S PLACE RETAIL STORES, INC. (THE)",PLCE,"$1,217.70"
"COMMSCOPE, INC.",CTV,"$1,216.30"
"THERAVANCE, INC.",THRX,"$1,215.40"
UNIVERSAL CORPORATION,UVV,"$1,215.00"
PUTNAM PREMIER INCOME TRUST,PPT,"$1,211.90"
AMERICAN GREETINGS CORPORATION,AM,"$1,211.10"
"DRIL-QUIP, INC.",DRQ,"$1,210.10"
AMERICAN REPORGRAPHICS COMPANY,ARP,"$1,209.80"
"APRIA HEALTHCARE GROUP, INC.",AHG,"$1,207.90"
ISHARES S&P EUROPE 350 INDEX FUND,IEV,"$1,207.00"
SCHOLASTIC CORPORATION,SCHL,"$1,206.50"
"CCE SPINCO, INC.",LYV,"$1,199.30"
MATTHEWS INTERNATIONAL CORPORATION,MATW,"$1,197.10"
"FORMFACTOR, INC.",FORM,"$1,194.90"
NEWCASTLE INVESTMENT CORPORATION,NCT,"$1,194.40"
"GABELLI EQUITY TRUST, INC. (THE)",GAB,"$1,193.10"
MIDWAY GAMES INC.,MWY,"$1,191.70"
"CHINA MEDICAL TECHNOLOGIES, INC.",CMED,"$1,190.40"
COMPANHIA PARANAENSE DE ENERGIA (COPEL),ELP,"$1,188.60"
"KINGSWAY FINANCIAL SERVICES, INC.",KFS,"$1,187.80"
ELDORADO GOLD CORP,EGO,"$1,186.40"
"ITRON, INC.",ITRI,"$1,186.40"
"DIGITAL RIVER, INC.",DRIV,"$1,182.30"
"MKS INSTRUMENTS, INC.",MKSI,"$1,180.00"
BLACK HILLS CORPORATION,BKH,"$1,179.30"
PETROHAWK ENERGY CORPORATION,HAWK,"$1,176.60"
BELDEN CDT INC,BDC,"$1,174.40"
DORAL FINANCIAL CORPORATION,DRL,"$1,173.20"
SHANDA INTERACTIVE ENTERTAINMENT LIMITED,SNDA,"$1,172.20"
"ADVANCE AMERICA, CASH ADVANCE CENTERS, INC.",AEA,"$1,172.00"
PSS WORLD MEDICAL INC.,PSSI,"$1,170.80"
ISHARES LEHMAN 7-10 YEAR TREASURY BOND FUND,IEF,"$1,168.40"
VERINT SYSTEMS INC.,VRNT,"$1,166.80"
GEORGIA GULF CORPORATION,GGC,"$1,166.70"
STREETTRACKS GOLD TRUST,GLD,"$3,306.30"
RECKSON ASSOCIATES REALTY CORPORATION,RA,"$3,296.60"
ERIE INDEMNITY COMPANY,ERIE,"$3,278.10"
MARKEL CORPORATION,MKL,"$3,272.90"
WHITMAN CORPORATION,PAS,"$3,272.10"
DPL INC.,DPL,"$3,269.80"
"RAYMOND JAMES FINANCIAL, INC.",RJF,"$3,257.70"
SMURFIT-STONE CONTAINER CORPORATION,SSCC,"$3,247.00"
CELANESE CORPORATION,CE,"$3,245.80"
RAYONIER INC. REIT,RYN,"$3,242.70"
"RENAL CARE GROUP, INC.",RCI,"$3,241.60"
RENAISSANCERE HOLDINGS LTD.,RNR,"$3,229.30"
"BEMIS COMPANY, INC.",BMS,"$3,213.80"
COMPUWARE CORPORATION,CPWR,"$3,196.40"
"SYNOPSYS, INC.",SNPS,"$3,192.10"
CANADIAN PAC LTD,FHR,"$3,189.30"
PACTIV CORPORATION,PTV,"$3,186.60"
CMS ENERGY CORPORATION,CMS,"$3,184.80"
CAREER EDUCATION CORPORATION,CECO,"$3,183.20"
ARAMARK CORPORATION,RMK,"$3,179.40"
MASSEY ENERGY COMPANY,MEE,"$3,172.60"
ZEBRA TECHNOLOGIES CORPORATION,ZBRA,"$3,168.00"
ISHARES S&P MIDCAP 400 INDEX FUND,IJH,"$3,166.50"
"JEFFERIES GROUP, INC.",JEF,"$3,165.30"
HON INDUSTRIES INC.,HNI,"$3,160.80"
SIGNET GROUP PLC,SIG,"$3,160.40"
"VENTAS, INC.",VTR,"$3,159.10"
"ITT EDUCATIONAL SERVICES, INC.",ESI,"$3,152.20"
"AFFILIATED MANAGERS GROUP, INC.",AMG,"$3,150.40"
LOEWS CORPORATION,CG,"$3,144.60"
BORGWARNER INC.,BWA,"$3,142.90"
CARMAX INC,KMX,"$3,134.00"
PROTECTIVE LIFE CORPORATION,PL,"$3,132.70"
PITTSTON COMPANY (THE),BCO,"$3,125.10"
"CROWN CORK & SEAL COMPANY, INC.",CCK,"$3,118.60"
INGRAM MICRO INC.,IM,"$3,115.50"
LOUISIANA-PACIFIC CORPORATION,LPX,"$3,115.00"
LUBRIZOL CORPORATION (THE),LZ,"$3,110.60"
"CHOICE HOTELS INTERNATIONAL, INC.",CHH,"$3,103.90"
"SYMBOL TECHNOLOGIES, INC.",SBL,"$3,099.50"
JAMES HARDIE INDUSTRIES NV,JHX,"$3,089.60"
"HUGHES SUPPLY, INC.",HUG,"$3,085.10"
"CGI GROUP, INC.",GIB,"$3,083.50"
MERCURY GENERAL CORPORATION,MCY,"$3,077.80"
ISHARES S&P 500/BARRA GROWTH INDEX FUND,IVW,"$3,071.70"
NSTAR,NST,"$3,069.70"
SONOCO PRODUCTS COMPANY,SON,"$3,069.40"
SEMICONDUCTOR  MANUFACTURING INTERNATIONAL CORPORATION,SMI,"$3,065.10"
"ALAMOSA HOLDINGS, INC.",APCS,"$3,063.50"
"INTERNATIONA FLAVORS & FRAGRANCES, INC.",IFF,"$3,061.50"
ISHARES S&P 500/BARRA VALUE INDEX FUND,IVE,"$3,058.10"
INVESTORS FINANCIAL SERVICES CORP.,IFIN,"$3,050.30"
"UNITRIN, INC.",UTR,"$3,044.80"
"ARDEN REALTY, INC.",ARI,"$3,040.70"
"REINSURANCE GROUP OF AMERICA, INCORPORATED",RGA,"$3,038.10"
BOK FINANCIAL CORPORATION,BOKF,"$3,035.00"
PANAMSAT HOLDING CORPORATION,PA,"$3,031.80"
IMCLONE SYSTEMS INCORPORATED,IMCL,"$3,025.20"
"ADVANCED MEDICAL OPTICS, INC.",EYE,"$3,019.90"
"HILLENBRAND INDUSTRIES, INC.",HB,"$3,016.90"
CROMPTON CORPORATION,CEM,"$3,015.50"
CHICAGO BRIDGE & IRON COMPANY N.V.,CBI,"$3,015.20"
"BEAZER HOMES USA, INC.",BZH,"$2,996.70"
FRONTLINE LTD.,FRO,"$2,990.80"
RADIOSHACK CORPORATION,RSH,"$2,988.70"
"AIRGAS, INC.",ARG,"$2,986.10"
"CLAIRE'S STORES, INC.",CLE,"$2,984.00"
